"conversion_id","campaign_id","order_id","conversion_value","attribution_model"
"CONV0001DF192F33","CAMP329000AA9400","ORDD0FA6D612291","4071.98","Last Click"
"CONV001E40116F71","CAMP2F181D04F566","ORD8BBC29C8B2A8","4051.51","First Click"
"CONV001EC6BB7D34","CAMPE77316FF0495","ORDCAC0FEA90323","3766.73","Last Click"
"CONV0023A9B25C72","CAMP991E2288AD26","ORD8C5D9470DAF8","1870.82","First Click"
"CONV002F8AE80AD5","CAMP7C07C0913C51","ORDFA0154EBF2CD","2989.37","First Click"
"CONV003031415CCB","CAMP625994E75D4E","ORD91CECD286F44","1246.82","First Click"
"CONV003990ADBBA5","CAMP56ACCF38F8EC","ORD017811B9047E","2400.72","Linear"
"CONV003F4D784551","CAMPBE9414933362","ORD0FEF6EDAE68D","1718.77","First Click"
"CONV0042D161449C","CAMP2FF8DA51E739","ORDD350CCF6E5D3","2970.78","First Click"
"CONV0049812AB972","CAMPDF7009D501AB","ORD058A84FE4AA8","1641.59","Linear"
"CONV004C6EE07718","CAMP2436A50DB785","ORDC05BDF2B1722","2513.40","Linear"
"CONV004C9BB9AB83","CAMP345DA88B4C4E","ORD86AF202E145B","2200.07","Linear"
"CONV004CA893AF2D","CAMPC4EBF5C24B32","ORD96C213B7020E","1052.83","First Click"
"CONV00542EAC59C1","CAMP46D3EE401B15","ORDEC5A3283D34A","2857.34","Last Click"
"CONV0056344CDF91","CAMPF25F58297C26","ORD29880A698D49","2168.84","First Click"
"CONV005855C6038B","CAMP67CDAF9D9CF7","ORDE6101553B5C1","2766.17","First Click"
"CONV005970F8E2FA","CAMPE4D0D5935CEA","ORDED00FF1BAEE5","1839.42","Linear"
"CONV005FDC3B354C","CAMP6A89D4D9AF0C","ORD8CEC9E97878C","4266.09","First Click"
"CONV0065C1A85983","CAMP8E92E640CBB6","ORDF21A7C6AE366","4794.61","First Click"
"CONV007111F0D8EE","CAMP725C50210C3E","ORDADCA92573E2A","2336.33","First Click"
"CONV0081EEDAB1C4","CAMPFCD54DD44FDF","ORDF1D15D475C6B","1577.74","First Click"
"CONV008C8D7C7DF5","CAMPA3E0DDA9F273","ORD922028879372","3751.17","First Click"
"CONV008E7749F1BA","CAMPE9A3AEEE55E7","ORD3F8229929419","1905.26","Last Click"
"CONV00900477DCBE","CAMP2DA74A93B1BA","ORDC0A56575DAC4","1988.95","Linear"
"CONV00908D7F7EB3","CAMPB31A7F8A6217","ORD4BB661F12901","2717.60","First Click"
"CONV0090A42C1429","CAMP9EEC32B823E3","ORD89F412255ADD","2108.62","Last Click"
"CONV0091853CA5FB","CAMPFD81395A8E81","ORDA8D07694E181","3996.52","First Click"
"CONV00939052633B","CAMP7AAA7E24770D","ORD15E5FB51E0CD","1149.99","Linear"
"CONV009F09818160","CAMP841DCE4468D8","ORDAEAB38CE84FC","4342.36","Last Click"
"CONV00A563F2DB81","CAMP9E66928126E1","ORDACE106FA6D45","1303.79","Linear"
"CONV00A9CACD414F","CAMP725C50210C3E","ORD79CBEACC331A","4105.98","First Click"
"CONV00B9A7A56E86","CAMPC9A578A4CD96","ORD27B95819A1D6","1214.49","Linear"
"CONV00C100F6D8F1","CAMPFC85EAB35E06","ORD2574CC6E47A6","3641.02","Last Click"
"CONV00C49985AE47","CAMP04D8552E6166","ORD8D1AFDF48138","3510.92","Linear"
"CONV00C91C98D8C3","CAMPC9A578A4CD96","ORDFEA0DFA2FF1C","3632.61","First Click"
"CONV00CA51DC45B4","CAMP67CDAF9D9CF7","ORDE3F6035BBDA6","4152.24","First Click"
"CONV00CA65E58C74","CAMP8E92E640CBB6","ORD554CA62C9869","2181.12","Linear"
"CONV00CABE4264BE","CAMPD0756F30F5D1","ORDA7B8B92F1617","2484.59","Linear"
"CONV00CD1470B780","CAMP01AEF7D67444","ORDB3EEE63EF1BB","3607.07","Last Click"
"CONV00D132F1F863","CAMPBE9414933362","ORD07AFE3D73B27","3701.85","Last Click"
"CONV00D31B702817","CAMP6741F411E2D5","ORD373126DA38FA","1983.84","Last Click"
"CONV00DA0460F93D","CAMP8899D04D736D","ORDF8B263073C59","4595.66","First Click"
"CONV00E32B9EAA9B","CAMP455DCB25EC4D","ORDAD8FE16C9E87","2840.44","Last Click"
"CONV00EC62CAFC67","CAMP7FF24BAA5A81","ORDF2F23BD49C2D","1016.18","Last Click"
"CONV00F4D93592D6","CAMP08854B66EE84","ORDAEB905386932","1675.09","Linear"
"CONV00FB36E7F025","CAMPF0A1FB0B5627","ORD35D79A148AE9","3103.74","Linear"
"CONV00FEFC1F53EE","CAMPA1A8603C9909","ORD79450400EA15","4667.08","First Click"
"CONV00FFA3F2595C","CAMP91F0A42242B1","ORD94DE7D88425A","1994.52","Linear"
"CONV01010EE0C1DD","CAMPEEC4D13E4F97","ORD3D8EA5BDD281","1855.53","Linear"
"CONV0107E3D4F8B1","CAMP6741F411E2D5","ORDDA31F5DF10B7","4628.10","Last Click"
"CONV010D72F96633","CAMPB0BCD8AC6C5D","ORDB0EB862D6056","3279.57","First Click"
"CONV010E00D02484","CAMP167F130DB44A","ORDA7F899C81476","3969.66","Last Click"
