"campaign_id","campaign_name","channel","budget","start_date","end_date","impressions","clicks","conversions","roas","cpa","ctr","ad_creative","influencer_id","target_audience","status"
"CAMP000B4E8D266B","Ergonomic non-volatile policy","TikTok","734969.00","2024-11-11","2025-02-01",552108,30979,6014,"3.39","122.21","5.6110","Facere perferendis totam dicta non in qui. Nesciunt et illo aliquam quos eius.",NULL,"Other 33yo in Kolkata","Cancelled"
"CAMP001F3C716B50","Reactive multi-tasking conglomeration","Google Ads","839891.04","2025-02-24","2025-04-18",581399,47421,5748,"4.55","146.12","8.1564","Iste tempora cum. Fugiat atque ut earum labore. Dolor repellendus optio aliquid.",NULL,"Other 26yo in Bangalore","Paused"
"CAMP01AEF7D67444","Extended interactive secured line","Google Ads","211501.23","2025-05-28","2025-08-05",219322,15736,1559,"1.81","135.66","7.1748","Cum natus reprehenderit dolore animi pariatur. Laudantium doloremque impedit hic.",NULL,"Male 20yo in Mumbai","Active"
"CAMP01F8C15D61FB","Horizontal static Local Area Network","YouTube","875805.33","2025-06-19","2025-09-08",328795,26203,2841,"3.74","308.27","7.9694","Consequatur reiciendis adipisci doloribus. Porro in odio cumque sequi qui.","INFL6486C85697A5","Female 19yo in Pune","Completed"
"CAMP01FE510885CC","De-engineered static throughput","Other","435793.77","2024-10-12","2024-12-31",255219,23487,1155,"3.72","377.31","9.2027","Soluta nam nam voluptatem. Beatae recusandae nam ratione.",NULL,"Female 18yo in Ahmedabad","Paused"
"CAMP02521F8EF586","Sharable tangible website","Instagram","13343.07","2025-04-26","2025-08-25",623712,45098,1554,"4.91","8.59","7.2306","Tenetur magni molestiae quidem corrupti voluptatem ipsam. Est consequatur eius ipsa labore.",NULL,"Other 26yo in Bangalore","Cancelled"
"CAMP02A75A185DF6","Re-engineered 24/7 time-frame","Other","858430.61","2025-08-08","2025-08-21",405649,12537,409,"3.01","2098.85","3.0906","Porro non eos repudiandae dolores quaerat provident facere.",NULL,"Male 23yo in Delhi","Paused"
"CAMP02B935B7C3F8","Enterprise-wide 6thgeneration orchestration","Google Ads","860911.50","2025-02-20","2025-06-11",768330,42951,6987,"3.56","123.22","5.5902","Quis optio laboriosam eos. Sequi fugit dolor. Nam assumenda nam minus pariatur nihil maxime hic.",NULL,"Female 26yo in Chennai","Active"
"CAMP0351838C1135","Operative high-level encoding","Google Ads","579075.91","2024-12-31","2025-01-26",401991,11690,2236,"4.29","258.98","2.9080","Occaecati officia autem ipsum. Culpa nesciunt cupiditate doloribus ex ipsa repellendus.",NULL,"Male 35yo in Hyderabad","Paused"
"CAMP0424602ABAAA","Intuitive responsive algorithm","Instagram","883938.26","2025-06-01","2025-09-11",719459,57654,5132,"3.74","172.24","8.0135","Sunt ea ducimus eaque quo aut.
Iusto alias consequuntur at. Amet est dolorem asperiores atque.","INFL174BEE87EDBE","Male 26yo in Hyderabad","Completed"
"CAMP04A60E73B566","Decentralized user-facing installation","TikTok","822056.01","2024-10-31","2024-11-06",380235,22341,1552,"2.53","529.68","5.8756","Porro possimus esse tenetur est.",NULL,"Other 34yo in Chennai","Active"
"CAMP04D8552E6166","Re-engineered bandwidth-monitored open architecture","YouTube","961667.15","2025-07-31","2025-08-16",216578,17425,1431,"4.88","672.02","8.0456","Blanditiis nisi rem inventore maxime.",NULL,"Other 18yo in Delhi","Paused"
"CAMP05A14236610A","Synchronized non-volatile moratorium","TikTok","443426.30","2025-03-27","2025-05-04",441469,17816,2468,"4.62","179.67","4.0356","Magni repellat nemo. Officia molestiae doloremque ipsam doloremque. Harum est ipsum.",NULL,"Male 31yo in Bangalore","Paused"
"CAMP06225AF5546D","Profit-focused asynchronous implementation","Facebook","727066.93","2025-01-07","2025-05-25",163338,10460,247,"2.53","2943.59","6.4039","Alias assumenda nihil minus sit ullam libero aliquid. Deleniti eius sequi voluptatibus.",NULL,"Female 22yo in Chennai","Completed"
